symptoms,topic
"Fever,Headache, (confusion),Nausea and vomiting,Sensitivity to light,Stiff neck ",Meningitis - cryptococcal
"Fever and chills, especially in newborns and children,Nausea and vomiting,Sensitivity to light (,),Severe headache,Stiff neck (meningismus) , in babies,Poor feeding or irritability in children,Rapid breathing,Unusual posture, with the head and neck arched backwards (,) ",Meningitis
"Fresh or frozen vegetables and fruits.,Fresh or frozen beef, chicken, turkey, and fish. Note that salt is often added to whole turkeys, so be sure to read the label. ,Check all labels to see how much salt is in each serving of your food. A product with less than 100 mg of salt per serving is good.,Ingredients are listed in order of the amount the food contains. Avoid foods that list salt near the top of the list of ingredients.,Look for these words: low-sodium, sodium-free, no salt added, sodium-reduced, or unsalted. ,Most canned foods, unless the label says low or no sodium. Canned foods often contain salt to preserve the color of the food and keep it looking fresh.,Processed foods, such as cured or smoked meats, bacon, hot dogs, sausage, bologna, ham, and salami.,Packaged foods such as macaroni and cheese and rice mixes.,Anchovies, olives, pickles, and sauerkraut.,Soy and Worcestershire sauces.,Tomato and other vegetable juices.,Most cheeses.,Many bottled salad dressings and salad dressing mixes.,Most snack foods, such as chips or crackers. ,Replace salt with other seasonings. Pepper, garlic, herbs, and lemon are good choices.,Avoid packaged spice blends. They often contain salt.,Use garlic and onion powder, not garlic and onion salt.,DO NOT eat foods containing monosodium glutamate (MSG).,Replace your salt shaker with a salt-free seasoning mix.,Use oil and vinegar on salads. Add fresh or dried herbs.,Eat fresh fruit or sorbet for dessert. ,Stick to steamed, grilled, baked, boiled, and broiled foods with no added salt, sauces, or cheese.,If you think the restaurant might use MSG, ask them not to add it to your order. ",Ménière disease - self-care
"It helps to show the person familiar objects, music, or and photos or play familiar music. ,Write down when the person should take any medicine or do other important tasks. It is important to write it down. ,If a person needs help with everyday tasks, or if safety or nutrition is a concern, you may want to consider extended-care facilities, such as a nursing home.",Memory loss
" that changes,Pressure in the ear,Ringing or roaring in the affected ear, called ,Vertigo, or dizziness ,Nausea, vomiting, and sweating often occur.,Symptoms get worse with sudden movement.,Often, you will need to lie down.,You may feel dizzy and off-balance for anywhere from 20 minutes to 24 hours. ,Hearing tends to improve between attacks, but gets worse over time.,Low frequency hearing is lost first.,You also may have roaring or ringing in the ear (tinnitus), along with a sense of pressure in your ear ,Diarrhea,Headaches,Pain or discomfort in the abdomen,Nausea and vomiting",Ménière disease
" (swelling) in any area of the body,Fatigue,Foamy appearance of urine (due to large amounts of protein)",Membranous nephropathy
,Melasma
"Change in iris color, in one eye,Red, ,Small defect on the , or ",Melanoma of the eye
"symmetry: One half of the abnormal area is different from the other half.,orders: The edges of the growth are irregular.,olor: Color changes from one area to another, with shades of tan, brown, or black, and sometimes white, red, or blue. A mixture of colors may appear within one sore.,iameter: The spot is usually (but not always) larger than 6 mm in diameter -- about the size of a pencil eraser.,volution: The mole keeps changing appearance. ",Melanoma
" such as , or decreased concentration, (smoke, cola, or tea colored),Foamy urine, of any part of the body",Membranoproliferative glomerulonephritis
,Melanin
"Excessive urination (polyuria),Salt cravings, (nocturia),Weakness,Coma,Decreased alertness,Easy bruising or bleeding,Frequent hiccups,Headache,Increased skin color (skin may appear yellow or brown),Itching, (general ill feeling),Muscle twitching or cramps,Nausea,Pale skin,Reduced sensation in the hands, feet, or other areas,Vomiting blood or blood in the stool,Weight loss,Weakness",Medullary cystic kidney disease
"Plant-based meals, with just small amounts of lean meat and chicken,More servings of whole grains, fresh fruits and vegetables, nuts, and legumes,Foods that naturally contain high amounts of fiber,Plenty of fish and other seafood,Olive oil as the main source of fat for preparing food. Olive oil is a healthy, monounsaturated fat,Food that is prepared and seasoned simply, without sauces and gravies",Mediterranean diet
,"Medicines, injections, and supplements for arthritis"
,Medicines for sleep
"A , shows you have osteoporosis, even if you have not had a fracture before, but your fracture risk is high.,You have a bone fracture, and a bone density test shows you have thinner than normal bones, but not osteoporosis.,You have a bone fracture that occurs without any significant injury. ",Medicines for osteoporosis
,Medicines for ADHD
"Tell your health care provider about any allergies or side effects you have had to any medicines in the past.,Tell all your providers about all the medicines, supplements, and herbs you take. Bring a list of all these with you to your appointments. Keep this list in your wallet and with you at all times.,Ask what each medicine is for and what side effects to watch for.,Ask whether the medicine will interact with any foods, drinks, or other medicines.,Ask your provider what to do if you forget a dose.,Learn the names of all your medicines. Also learn what each medicine looks like. ",Medicine safety: Filling your prescription
"DO NOT think that a child resistant cap is enough. Children can figure out how to open bottles.,Put a childproof lock or catch on the cabinet with your medicines.,Put away medicine safely after every use.,Never leave medicine on the counter. Curious children will climb on a chair to reach for something that interests them. ,DO NOT leave your medicine unattended. Children can find medicine in your bedside drawer, your handbag, or your jacket pocket.,Remind visitors (grandparents, babysitters, and friends) to put away their medicine. Ask them to keep purses or bags containing medicine on a high shelf, out of reach.,Get rid of any old or expired medicines. Call your city government and ask where you can drop off unused medicines. DO NOT flush medicines down the toilet or pour them into the sink drain. Also, DO NOT toss medicines in the trash.,DO NOT take your medicine in front of young children. Children like to copy you and may try to take your medicine just like you.,DO NOT call medicine or vitamins candy. Children like candy and will get into medicine if they think it is candy. ",Medicine safety and children
,Medications for back pain
"Your doctor writes an order in your medical record for your medicine. This prescription goes to the hospital pharmacy.,The hospital pharmacist reads and fills the prescription. The medicine is labeled with the type of medicine and your name, and then sent to your nurse.,Your nurse reads the prescription label and gives you the medicine. This is called administering the medicine.,Your nurse and the rest of your health care team monitor (watch) you to see how you respond to the medicine. They watch to make sure the medicine is working. They also look for side effects the medicine could cause. ",Medication safety during your hospital stay
" This includes different types of chronic pain, including pain from nerve damage., The most common use is for nausea and vomiting caused by chemotherapy for cancer., This helps people who do not eat enough and lose weight due to other illnesses, such as HIV/AIDS and cancer. ,Multiple sclerosis,Crohn disease,Inflammatory bowel disease,Epilepsy ",Medical marijuana
" Your risk for breast cancer increases as you age. Most cancers are found in women age 55 and older., Changes in genes linked with breast cancer, such as BRCA1, BRCA2, and others increase your risk. Gene mutations account for about 10% of all breast cancer cases., Having more dense breast tissue and with less fat breast tissue increases risk. Also, dense breast tissue can make tumors hard to see on ,., Treatment involving radiation therapy to the chest wall as a child can increase your risk., If your mother, sister, or daughter was diagnosed with breast cancer, you have a higher risk., If you have had breast cancer, you are at risk for ,., If your breast tissue was examined in a lab and had abnormal features (but not cancer), your risk is higher., Getting your period before age 12, starting menopause after age 55, getting pregnant after age 30, or never getting pregnant all increase your risk., This is a drug given to pregnant women between 1940 and 1971. Women who took DES during pregnancy to prevent miscarriage have a slightly higher risk. Women exposed to the drug in the womb also have a slightly higher risk., White women are diagnosed with breast cancer more often than African American/Black, Hispanic/Latina, Asian/Pacific Islander, or American Indian/Alaska Native women. ",Understanding your breast cancer risk
"Hospital care.,Skilled nursing facility care, when you are sent to recover from an illness or procedure. (Moving into nursing homes when you are no longer able to live at home is not covered by Medicare.),Hospice care.,Home health visits. ,Care provided by physicians, nurses, and other health care providers,Drugs,Nursing care,Therapy to help with speech, swallowing, movement, bathing, dressing and so on,Lab and imaging tests,Surgeries and procedures,Wheelchairs, walkers, and other equipment ",Understanding medicare
"Non-starchy vegetables and fruit ,Fat-free or low-fat dairy products,Whole grains,Lean meats, poultry, beans, soy foods, and egg and egg substitutes,Fish,Nuts and seeds,Heart-healthy fats, such as olive and canola,Avocados ,Foods made with refined grains, such as white bread, and pastries,Sweets ",Understanding the DASH diet
,Understanding health insurance plans
"Location of the primary (original) tumor and type of cancer cells,Size of the primary tumor,Whether the cancer has spread to lymph nodes,Number of tumors from the cancer that has spread,Tumor grade (how much cancer cells look like normal cells),Imaging tests, such as x-rays, CT scans, PET scans, or MRIs,Lab tests",Understanding cancer staging
"Amnesia for events before, during, and even after the period of unconsciousness,Confusion,Headache,Inability to speak or move parts of his or her body (see , symptoms),Lightheadedness,Loss of bowel or bladder control (incontinence),Rapid heartbeat (,), (profound confusion and weakness),Inability to speak,Difficulty breathing,Noisy breathing or high-pitched sounds while inhaling,Weak, ineffective coughing ,Bluish skin color",Unconsciousness - first aid
"The hernia is painful and stuck in the bulging position.,Blood supply to the intestine is affected.,The hernia has not closed by age 3 or 4.,The defect is very large or unacceptable to parents because of how it makes their child look. Even in these cases, the doctor will probably suggest waiting until your child is 3 or 4 to see if the hernia closes on its own.",Umbilical hernia repair
,Umbilical hernia
,Umbilical cord care in newborns
,Umbilical catheters 
,Ultrasound pregnancy
,Ultrasound
"Abnormal sensations in the little finger and part of the ring finger, usually on the palm side,, loss of coordination of the fingers,Clawlike deformity of the hand and wrist,
  Pain, ,, decreased sensation, tingling, or burning sensation in the areas controlled by the nerve",Ulnar nerve dysfunction
,Ulcers
,Ulcerative colitis - discharge
"A well-balanced, healthy diet. It is important that your child get enough calories, protein, and nutrients from a variety of food groups.,A diet low in saturated fats and sugar.,Small, frequent meals and plenty of liquids. ,Too much fiber may make symptoms worse. Try baking or stewing fruits and vegetables if eating them raw bothers her.,Avoid giving foods that are known to cause gas, such as beans, spicy food, cabbage, broccoli, cauliflower, raw fruit juices, and fruits, especially citrus fruits. Avoid or limit caffeine, as it may make diarrhea worse. Foods such as some sodas, energy drinks, tea, and chocolate can contain caffeine. ,Iron supplements (if they are anemic),Nutrition supplements,Calcium and vitamin D supplements to help keep their bones strong ",Ulcerative Colitis - children - discharge
"Pain in the abdomen (belly area) and cramping.,A gurgling or splashing sound heard over the intestine.,Blood and possibly pus in the stools.,Diarrhea, from only a few episodes to very often.,Fever.,Feeling that you need to pass stools, even though your bowels are already empty. It may involve straining, pain, and cramping (tenesmus).,Weight loss.,Joint pain and swelling,Mouth sores (ulcers),Nausea and vomiting,Skin lumps or ulcers ",Ulcerative colitis
,Rape (sexual assault) - overview
"Severe pain in the ear,Painful rash on the eardrum, ear canal, earlobe, tongue, and roof of the mouth on the side with the affected nerve,Hearing loss on one side,Sensation of things spinning (,),Weakness on one side of the face that causes difficulty closing one eye, eating (food falls out of the weak corner of the mouth), making expressions, and making fine movements of the face, as well as facial droop and paralysis on one side of the face",Ramsay Hunt syndrome
,Radionuclide cystogram
,Radionuclide cisternogram
"Diarrhea (may decrease absorption of the radioactive iodine),Had recent CT scans using intravenous or oral iodine-based contrast (within the past 2 weeks),Too little or too much iodine in your diet ",Radioactive iodine uptake
,Radical prostatectomy - discharge
,Radical prostatectomy
,Radiation therapy - skin care
,Radiation therapy - questions to ask your doctor
,Radiation therapy
"Accidental exposure to high doses of radiation, such as radiation from a nuclear power plant accident ,Exposure to excessive radiation for medical treatments",Radiation sickness
"You have chemotherapy at the same time as the radiation.,You receive stronger doses of radiation.,A larger area of your intestines receives radiation.,Bleeding or mucus from the rectum,Diarrhea or watery stools,Feeling the need to have a bowel movement most or all of the time,Pain in the rectal area, especially during bowel movements ,Loss of appetite,Nausea and vomiting ,Abdominal pain,Bloody diarrhea,Greasy or fatty stools,Weight loss ",Radiation enteritis
"Abnormal sensations in the back and thumb side of the hand, or in the thumb, 2nd, and 3rd fingers,Weakness, loss of coordination of the fingers,Problem straightening the arm at the elbow,Problem bending the hand back at the wrist, or holding the hand,Pain, ,, decreased sensation, tingling, or burning sensation in the areas controlled by the nerve",Radial nerve dysfunction
"Insert pins and plates to hold your bones in place,Replace the broken piece with a metal part,Repair torn ligaments (tissues that connect bones) ",Radial head fracture - aftercare
"Exaggerated sensation at the bite site,Excitability,Loss of feeling in an area of the body,Loss of muscle function,Low-grade , (102 degrees F or lower),Pain at the site of the bite,Swallowing difficulty (drinking causes , of the voicebox) ",Rabies
"Delusions or mental confusion,Diarrhea,Nausea (sometimes),Inflamed mucus membranes,Scaly skin sores ",Pellagra
"Signs or symptoms of infection,Signs that the tube is blocked and what to do,What to do if the tube is pulled out,How to hide the tube under clothes,How to empty the stomach through the tube,What activities are ok to continue and what to avoid ,Give yourself food or liquid using the tube,Clean the tube,Take your medicines through the tube ",PEG tube insertion - discharge
,Pedicle
"Long silent pauses in breathing followed by snorts, choking, and gasps for air,Breathing mainly though the mouth ,Restless sleep,Waking up often,Sleepwalking ,Sweating,Bedwetting,Feel sleepy or drowsy throughout the day ,Act grumpy, impatient, or irritable,Have trouble concentrating in school,Have hyperactive behavior",Pediatric sleep apnea
,Pediatric heart surgery - discharge
"Blue or gray skin, lips, and nail beds (cyanosis). These symptoms mean there is not enough oxygen in the blood (hypoxia).,Difficulty breathing because the lungs are ""wet,"" congested, or filled with fluid (heart failure).,Problems with heart rate or heart rhythm (arrhythmias).,Poor feeding or sleeping, and lack of growth and development of the child. ",Pediatric heart surgery
,Pectus excavatum repair
"Always bend over at the hips.,Sit up straight to help keep the bar in place. DO NOT slouch.,DO NOT roll on either side. ",Pectus excavatum - discharge
Poland syndrome,Pectus excavatum
"Congenital pectus carinatum (present at birth),Trisomy 21",Pectus carinatum
"Antibiotics and anti-fungal drugs,Anti-anxiety drugs,Birth control pills,Diabetes medicines,Pain medicines,Sleep medicines ",PBG urine test
,Patient portals - an online tool for your health
,Patent foramen ovale
"Fast breathing,Poor feeding habits,Rapid pulse,Shortness of breath ,Sweating while feeding,Tiring very easily,Poor growth",Patent ductus arteriosus
,Patches
"A higher risk for urinary tract infections,A higher risk for cancer of the urachal tube later in life,Continued leakage of urine from the urachus ",Patent urachus repair
"Blood thinners, such as aspirin and heparin, that make it hard for the blood to clot,Antihistamines,Vitamin C",Partial thromboplastin time (PTT)
"Abnormal ,, such as abnormal head movements,Staring spells, sometimes with repetitive movements such as picking at clothes or lip smacking,Eyes moving from side to side,, such as ,, ,, crawling sensation (like ants crawling on the skin),, seeing, smelling, or sometimes hearing things that are not there,Abdominal pain or discomfort,Nausea,Sweating,Dilated pupils,Blackout spells, periods of time lost from memory,Sensation of déjà vu (feeling like current place and time have been experienced before), or emotion,Temporary inability to speak ",Partial (focal) seizure
"You can't sleep through the night because of knee pain.,Your knee pain prevents you from doing daily activities.,Your knee pain has not gotten better with other treatments. ,You are older, thin, and not very active.,You do not have very bad arthritis on the other side of the knee or under the kneecap.,You have only minor deformity in the knee.,You have good range of motion in your knee.,The ligaments in your knee are stable. ",Partial knee replacement
"Chest tightness, (a sensation of feeling the heartbeat), often with an irregular or fast rate (racing)",Paroxysmal supraventricular tachycardia (PSVT)
"Chills,Back pain,General discomfort, uneasiness, or ill feeling (,), (red urine) ",Paroxysmal cold hemoglobinuria (PCH)
"Back pain,, may form in some people,Dark urine, comes and goes,Easy bruising or bleeding",Paroxysmal nocturnal hemoglobinuria (PNH)
"Fever, chills,Development of red streaks along the skin,General ill feeling,Joint pain,Muscle pain ",Paronychia
"Remove things that can cause you to trip. These include throw rugs, loose wires, or cords.,Fix uneven flooring.,Make sure your home has good lighting, especially in hallways.,Install handrails in the bathtub or shower and next to the toilet.,Place a slip-proof mat in the bathtub or shower.,Re-organize your home so things are easier to reach.,Buy a cordless or cell phone so you have it with you when you need to make or receive calls. ,Exercises for strength and moving around,How to use your walker, cane, or scooter,How to set up your home to safely move around in and prevent falls,Replace shoe laces and buttons with Velcro,Get a phone with large buttons ",Parkinson disease - discharge
,Parkinson disease - resources
"Problems with balance and walking,Rigid or stiff muscles, and pains,Low blood pressure when you stand up,Stooped posture,Sweating and not being able to control your body temperature,Slow blinking,Difficulty swallowing,Drooling,Slowed, quieter speech and monotone voice,No expression in your face (like you are wearing a mask) ,Difficulty starting movement, such as starting to walk or getting out of a chair,Difficulty continuing to move,Slowed movements,Loss of small hand movements (writing may become small and difficult to read),Difficulty eating ,Usually occur when your limbs are not moving; this is called resting tremor,Occur when your arm or leg is held out,Go away when you move,May be worse when you are tired, excited, or stressed,Can cause you to rub your finger and thumb together without meaning to (called pill-rolling tremor),Eventually may occur in your head, lips, tongue, and feet ,Anxiety, stress, and tension,Fainting,Memory loss ",Parkinson disease
"Red, irritated, and painful eye (looks like ""pink eye"") ,Fever,General ill feeling,Increased tearing (possible) ,Swelling of nearby lymph glands (often in front of the ear)",Parinaud oculoglandular syndrome
" or bone pain,Muscle pain",Parathyroid hyperplasia
,Parathyroid hormone-related protein blood test
,Parathyroid hormone (PTH) blood test
"Your age,Calcium levels in your urine and blood,Whether you have symptoms ",Parathyroid gland removal
"Constipation,Fractures,Frequent thirst,Frequent urination,Muscle weakness, and vomiting,Poor appetite ",Parathyroid cancer
,Parathyroid biopsy
"Confusion,
   Lack of energy (,),Muscle pain, or decreased appetite,Urinating more often at night ,Weak bones or fractures",Parathyroid adenoma
,Mediastinoscopy with biopsy
"General discomfort,Chest wall tenderness,Wound drainage,Unstable chest wall",Mediastinitis
"Chest pain, and ,Cough, (hemoptysis),Night sweats",Mediastinal tumor
" that runs along the inside of your forearm to your wrist, on the same side as your pinky finger,Pain when flexing your wrist, palm down,Pain when shaking hands,Weak grasp,Numbness and tingling from your elbow up and into your pinky and ring fingers",Medial epicondylitis - golfer's elbow
,Medial
"Bluish skin color (cyanosis) in the infant,Working hard to breathe (noisy breathing, grunting, using extra muscles to breathe, breathing rapidly),No breathing ,Limpness at birth",Meconium aspiration syndrome
"Meclofen,Meclomen,Movens",Meclofenamate overdose
"Pain in the abdomen that can be mild or severe,Blood in the stool,Nausea and vomiting",Meckel's diverticulum
"Bleeding, (a blockage in your intestine),Infection,Inflammation ",Meckel diverticulectomy
,Mechanical ventilator - infants
"Abnormal strength and direction of urine stream,Bleeding (,) at end of urination, or straining with urination, (day or night),Visible narrow opening in boys ",Meatal stenosis
"Usually appears 3 to 5 days after the first signs of being sick ,May last 4 to 7 days,Usually starts on the head and spreads to other areas, moving down the body,May appear as flat, discolored areas (,) and solid, red, raised areas (,) that later join together,Itches ,Light sensitivity (,),Redness and irritation of the eyes (,),Runny nose,Sore throat,Tiny white spots inside the mouth (Koplik's spots) ",Measles
"Bone fractures,Deformities of the bones in the face,Irregular, large patchy ,, especially on the back ",McCune-Albright syndrome
"Burgundy-colored urine (myoglobinuria),Fatigue,Exercise intolerance, poor stamina,Muscle cramps,Muscle stiffness,Muscle weakness",McArdle disease
,Maximizing your teaching moment
"Trouble with reading, writing, and copying numbers,Problems counting and adding numbers, often making simple mistakes,Hard time telling the difference between adding and subtracting,Problems understanding math symbols and word problems,Can't line up numbers properly to add, subtract, or multiply,Can't arrange numbers from smallest to largest, or the opposite,Can't understand graphs ",Mathematics disorder
"Fever, may be high or suddenly increase,Headache,Hearing loss,Redness of the ear or behind the ear,Swelling behind ear, may cause ear to stick out",Mastoiditis
"Complications of an ear infection (,),Infections of the mastoid bone that do not get better with antibiotics,To place a ",Mastoidectomy
,Mastectomy and breast reconstruction - what to ask your doctor
,Mastectomy - discharge 
" is when only the breast cancer and tissue around the cancer are removed. This is also called breast conservation therapy or partial mastectomy. Most of your breast will be left.,Mastectomy is when all breast tissue is removed. ,The size and location of your tumor,Skin involvement of the tumor,How many tumors there are in the breast,How much of the breast is affected,The size of your breast,Your age,Medical history that may exclude you from breast conservation (this may include prior breast radiation and certain medical conditions),Family history,Your general health and whether you have reached menopause ",Mastectomy
,Marine animal stings or bites
"Preventing injury,Reassuring those who have panic reactions due to the drug,Activated charcoal if the drug has been eaten,Blood and urine tests,Breathing support,Chest x-ray,EKG (electrocardiogram, or heart tracing),Fluids through the vein (intravenous, or IV),Medicines to relieve symptoms (see above)",Marijuana intoxication
"A chest that sinks in or sticks out, called funnel chest (,) or pigeon breast (,),Flat feet,Highly arched palate and crowded teeth,Joints that are too flexible (but the elbows may be less flexible),Learning disability,Movement of the lens of the eye from its normal position (dislocation),Nearsightedness,Small lower jaw (micrognathia),Spine that curves to one side (,),Thin, narrow face ",Marfan syndrome
"Coma,Feeding difficulties,Urine that smells like maple syrup,Vomiting ",Maple syrup urine disease
"Age,Sex,Size,Activity level,Medical conditions ,Shark,Swordfish,Tile fish,King mackerel ,Pinto beans,Black beans,Kidney beans,Lentils,Split peas,Garbanzo beans ,Pasta,Oatmeal,Breads,Breakfast cereals,Tortillas,Grits ,Bread and pasta made with whole-wheat flour,Bulgur (cracked wheat), amaranth, and other grains,Oatmeal,Popcorn,Brown rice ,Canola,Corn,Cottonseed,Olive,Safflower,Soybean,Sunflower oils ,Whole milk products,Cream,Ice cream,Butter,Snack foods such as cookies, cakes, and crackers that contain these ingredients ,Avoid fried foods. Fried food absorbs the fats from cooking oils. This increases your fat intake. If you do fry, cook with polyunsaturated oils. Try to saute foods in a small amount of oil instead of deep-fat frying.,Boil, grill, poach, and bake fish, chicken, and lean meats.,Read food labels. Try to avoid foods that have partially-hydrogenated fats or trans fats. Limit foods that are high in saturated fats. ",Managing your weight with healthy eating 
"Baby: 8 pounds (3.5 kilograms),Placenta: 2 to 3 pounds (1 to 1.5 kilograms),Amniotic fluid: 2 to 3 pounds (1 to 1.5 kilograms),Breast tissue: 2 to 3 pounds (1 to 1.5 kilograms),Blood supply: 4 pounds (2 kilograms),Fat stores: 5 to 9 pounds (2.5 to 4 kilograms),Uterus growth: 2 to 5 pounds (1 to 2.5 kilograms) ",Managing your weight gain during pregnancy
,Managing your depression - teens
"If you sit at a computer, make sure that your chair has a straight back with an adjustable seat and back, armrests, and a swivel seat.,Ask about having an occupational therapist assess your workspace or movements to see if changes such as a new chair or cushioned mat under your feet would help.,Try not to stand for long periods. If you must stand at work, rest one foot on a stool, then the other foot. Keep switching the load of your body's weight between your feet during the day. ,Adjust your car seat to make it easier to enter, sit in, and get out of your car.,Bring your seat as far forward as possible to avoid leaning forward when you are driving.,If you drive long distances, stop and walk around every hour.,DO NOT lift heavy objects right after a long car ride. ,Raise your foot up to the edge of a chair or stool to put your socks and shoes on instead of bending over. Also consider wearing shorter socks. They are quicker and easier to put on.,Use a raised toilet seat or install handrail next to the toilet to help take pressure off your back when you sit on and get up from the toilet. Also make sure the toilet paper is easy to reach.,DO NOT wear high-heeled shoes. If you must wear them sometimes, consider wearing comfortable shoes with flat soles to and from the event or until you must put on high-heels.,Wear shoes with cushioned soles.,Rest your feet on a low stool while you're sitting so that your knees are higher than your hips. ",Managing your chronic back pain
"Not everyone with diabetes needs to check their blood sugar every day. But some people may need to check it many times a day.,If you have type 1 diabetes, check your blood sugar at least 4 times a day. ,After you eat out, especially if you have eaten foods you DO NOT normally eat,If you feel sick,Before and after you exercise,If you have a lot of stress,If you eat too much,If you are taking new medicines ,The time of day,Your blood sugar level,The amount of carbohydrates or sugar you ate,The type and dose of your diabetes medicines or insulin,The type of exercise you do and for how long,Any unusual events, such as feeling stressed, eating different foods, or being sick ",Managing your blood sugar
,Managing tension headaches at home
,Questions to ask your doctor before knee replacement
,Questions to ask your doctor after knee replacement
,Questions to ask your child's doctor
,Quantitative nephelometry test
,Quantitative Bence-Jones protein test
,Quadruple screen test
"Dry , (nonproductive),Headache,Joint pain (,),Jaundice,Rash",Q fever - early
"Dry cough,Fever,Headache,Joint pain,Muscle pain ,Abdominal pain,Chest pain,Rash,Yellow skin (jaundice) ,Chills,Fatigue,Night sweats,Prolonged fever,Shortness of breath ",Q fever
"Burns in throat,Coma,Nosebleed,Seizures,Shock,Sore throat,Stomach pain,Vomiting, including vomiting blood",Paraquat poisoning
"Chest pain, usually a sharp pain that is worse with cough or deep breaths,Cough with sputum,Fever,Rapid breathing,Shortness of breath",Parapneumonic pleural effusion
"Inability to pull the retracted foreskin over the head of the penis,Painful swelling at the end of the penis",Paraphimosis
"Concern that other people have hidden motives,Expectation that they will be exploited (used) by others,Inability to work together with others,Social isolation,Detachment,Hostility ",Paranoid personality disorder
"Chest pain,Cough,Croup,Fever,Runny nose,Shortness of breath,Sore throat,Stuffy nose",Parainfluenza
"Some arthritis bath/spa treatments,Some ,Some waxes ",Paraffin poisoning
"Brewer's yeast,Liver,Molasses,Mushrooms,Spinach,Whole grains",Para-aminobenzoic acid
"Toilet bowl deodorizers,Moth repellant ",Paradichlorobenzene poisoning
"Have had an abnormal Pap test,Might be pregnant ,Douche (douching should never be done),Have intercourse,Use tampons ",Pap test
,Papule
"Animal proteins,Avocado,Broccoli, kale, and other vegetables in the cabbage family,Eggs,Legumes and lentils,Milk,Mushrooms,Organ meats,Poultry,White and sweet potatoes,Whole-grain cereals,Yeast ,Cereal,Chocolate,Egg yolk,Legumes,Milk,Nuts,Organ meats (liver, kidney),Pork,Yeast",Pantothenic acid and biotin
" or discomfort, or feeling ,Fear of dying,Fear of losing control or impending doom,Feeling of choking,Feelings of detachment,Feelings of unreality, or upset stomach, or tingling in the hands, feet, or face,, fast heart rate, or pounding heart,Sensation of , or smothering,, chills, or hot flashes,Trembling or shaking ",Panic disorder
"Eating a healthy diet that is low in fat, with no more than 30 grams of fat per day,Eating foods that are high in protein and carbohydrates, but low in fat. Eat smaller meals, and eat more often. Your provider will help make sure you are getting enough calories to not lose weight.,Quitting smoking, if you smoke (or chewing tobacco),Losing weight, if you are overweight ,You will need to take these pills with every meal. Your provider will tell you how many.,When you take these enzymes, you may also need to take another medicine to decrease the acid in your stomach. ",Pancreatitis - discharge
"Cough,Nausea and vomiting,Swelling in the abdomen,Fever,Yellowing of the skin, called ,Loss of appetite,Increased pulse",Pancreatitis - children
"Constant pain or deep ache in the abdomen, which may also be felt in the back ,Difficulty eating and digesting food",Pancreatic pseudocyst
"
 Feeling tired or weak
 ,
 Shaking or sweating
 ,
 Headache
 ,
 Hunger
 ,
 Nervousness, anxiety, or feeling irritable
 ,
 Unclear thinking or feeling uneasy
 ,
 Double or blurry vision
 ,
 Fast or pounding heartbeat
 ,
 Abdominal pain
 ,
 Diarrhea
 ,
 Ulcers in the stomach and small bowel
 ,
 Vomiting blood (occasionally)
 ,
 Diabetes
 ,Red, blistery rash in the groin or buttocks,Weight loss,Frequent urination and thirst ",Pancreatic islet cell tumor
"Diarrhea,Dark urine and clay-colored stools, and weakness,Sudden increase in blood sugar level (diabetes), (a yellow color in the skin, mucous membranes, or white part of the eyes) and itching of the skin,Loss of appetite and weight loss,Nausea and vomiting,Pain or discomfort in the upper part of the belly or abdomen ",Pancreatic cancer
Inability to eat,Pancreatic abscess
"Amputations,Disease of the arteries,Blindness,Heart disease,Kidney damage,Nerve damage,Stroke ,A history of cancer,HIV,Infections such as ,, which are considered to be active,Lung disease,Obesity,Other blood vessel diseases of the neck and leg,Severe heart disease (such as heart failure, poorly controlled ,, or ,),Smoking, alcohol or drug abuse, or other lifestyle habits that can damage the new organ ",Pancreas transplant
", most often in the mid-abdomen, that may be felt in the back, (distention),Nausea or vomiting ",Pancreas divisum
,PAM
"Down syndrome,Certain genetic disorders",Palpebral slant - eye
,Palpation
,Palliative care - what the final days are like
,Palliative care - managing pain
"Loss of appetite,Trouble chewing, caused by mouth or tooth pain, mouth sores, or a stiff or painful jaw,Constipation, which is fewer bowel movements than usual or hard stools,Nausea or vomiting ","Palliative care - fluid, food, and digestion"
"That things are not right,Fear,Worry,Confused,Unable to pay attention, focus, or concentrate,Loss of control,Tense ,Trouble relaxing,Trouble getting comfortable,Needing to move for no reason,Fast breathing,Fast heartbeat,Shaking,Muscle twitches,Sweating,Trouble sleeping,Bad dreams or nightmares,Extreme restlessness (called agitation) ",Palliative care - fear and anxiety
"Normal fair complexion, (,, poor nutrition, or underlying disease),Problems with the circulatory system, (long-term) diseases including infection and ,Certain medicines ",Paleness
"Clicking in the ear,Popping in the ear,Fluttering sounds in the ear with normal hearing",Palatal myoclonus
,"Paint, lacquer, and varnish remover poisoning"
"Cytomegalovirus,Gum disease (,),Herpes simplex virus,Human immunodeficiency virus (HIV), (sore throat),Nutcracker esophagus,Ulcer in the esophagus, especially due to the antibiotic doxycycline ,Mouth or throat ulcers,Something stuck in the throat (for example, fish or chicken bones),Tooth infection or abscess ",Painful swallowing
"Primary dysmenorrhea,Secondary dysmenorrhea , (IUD) made of copper, disease
   , (PMS),Sexually transmitted infection,Stress and anxiety ",Painful menstrual periods
,Pain medications - narcotics
,Pain and your emotions
,Managing pain during labor
"Drink water to avoid dehydration, especially if you have vomited,Rest in a quiet, darkened room,Place a cool cloth on your head ",Managing migraines at home
